"or","de","Time","acm_id","sch_id"
"91327","147+E.+107th+Street+Los+Angeles+CA+90003",3091,17,1
"91327","10915+S.+Mc+Kinley+Ave.+Los+Angeles+CA+90059",3253,17,2
"91327","405+E+122nd+St+Los+Angeles+Ca+90061",3283,17,3
"91327","330+E.+93rd+St+Los+Angeles+CA+90003",3083,17,4
"91327","1575+W+2nd.+ST+Los+Angeles+CA+90026",2261,17,5
"91327","1575+W+2nd.+ST+Los+Angeles+CA+90026",2261,17,24
"91327","4410+McKinley+Ave+Los+Angeles+CA+90011",2781,17,6
"91327","3500+S.+Hill+St.+Los+Angeles+CA+90007",2635,17,8
"91327","1515+E.+104th+St.+Los+Angeles+CA+90002",3322,17,9
"91327","234+E+112TH+ST+LOS+ANGELES+CA+90061",3024,17,10
"91327","2510+E.+Sixth+St.+Los+Angeles+CA+90023",2285,17,11
"91327","1319+E+41st+St.+Los+Angeles+Ca+90011",2790,17,12
"91327","1319+E+41st+St.+Los+Angeles+Ca+90011",2790,17,19
"91327","650+S.+Union+Ave.+Los+Angeles+CA+90017",2309,17,13
"91327","2265+E.+103rd+St+Los+Angeles+CA+90002",3444,17,14
"91327","325+E+111th+St+Los+Angeles+CA+90061",3101,17,15
"91327","4131+S+Vermont+Ave+Los+Angeles+Ca+90037",2618,17,16
"91327","1650+E.+104th+St.+Los+Angeles+CA+90002",3309,17,17
"91327","1200+Plaza+del+Sol+Los+Angeles+CA+90033",2221,17,18
"91327","4505+S.+Raymond+Ave.+Los+Angeles+CA+90037",2859,17,20
"91327","3201+W.+8th+St.+Los+Angeles+CA+90010",2258,17,21
"91327","1700+W+46TH+ST+Los+Angeles+CA+90062",2970,17,22
"91327","456+S+Mathews+St+Los+Angeles+CA+90033",2253,17,23
"91327","1921+S+Maple+Ave.+Los+Angeles+CA+90011",2565,17,25
"91327","725+S.+Indiana+St.+Los+Angeles+CA+90023",2438,17,26
"91327","152+N.+Vermont+Ave.+Los+Angeles+CA+90004",1956,17,27
"91327","144+E+118th+St+Los+Angeles+CA+90061",3192,17,28
"91327","1940+E+111TH+St.+LOS+ANGELES+CA+90059",3330,17,29
"91327","322+LUCAS+AVELOS+ANGELES+CA+90017",2132,17,30
"91327","322+LUCAS+AVELOS+ANGELES+CA+90017",2132,17,31
"91327","322+LUCAS+AVELOS+ANGELES+CA+90017",2132,17,32
"91327","322+LUCAS+AVELOS+ANGELES+CA+90017",2132,17,33
"91733","147+E.+107th+Street+Los+Angeles+CA+90003",2022,1,1
"91733","10915+S.+Mc+Kinley+Ave.+Los+Angeles+CA+90059",1895,1,2
"91733","405+E+122nd+St+Los+Angeles+Ca+90061",1880,1,3
"91733","330+E.+93rd+St+Los+Angeles+CA+90003",2091,1,4
"91733","1575+W+2nd.+ST+Los+Angeles+CA+90026",2022,1,5
"91733","1575+W+2nd.+ST+Los+Angeles+CA+90026",2022,1,24
"91733","4410+McKinley+Ave+Los+Angeles+CA+90011",1835,1,6
"91733","3500+S.+Hill+St.+Los+Angeles+CA+90007",1663,1,8
"91733","1515+E.+104th+St.+Los+Angeles+CA+90002",1878,1,9
"91733","234+E+112TH+ST+LOS+ANGELES+CA+90061",1935,1,10
"91733","2510+E.+Sixth+St.+Los+Angeles+CA+90023",988,1,11
"91733","1319+E+41st+St.+Los+Angeles+Ca+90011",1547,1,12
"91733","1319+E+41st+St.+Los+Angeles+Ca+90011",1547,1,19
"91733","650+S.+Union+Ave.+Los+Angeles+CA+90017",1961,1,13
"91733","2265+E.+103rd+St+Los+Angeles+CA+90002",1834,1,14
"91733","325+E+111th+St+Los+Angeles+CA+90061",1905,1,15
"91733","4131+S+Vermont+Ave+Los+Angeles+Ca+90037",1873,1,16
"91733","1650+E.+104th+St.+Los+Angeles+CA+90002",1846,1,17
"91733","1200+Plaza+del+Sol+Los+Angeles+CA+90033",1182,1,18
"91733","4505+S.+Raymond+Ave.+Los+Angeles+CA+90037",2034,1,20
"91733","3201+W.+8th+St.+Los+Angeles+CA+90010",1970,1,21
"91733","1700+W+46TH+ST+Los+Angeles+CA+90062",2207,1,22
"91733","456+S+Mathews+St+Los+Angeles+CA+90033",996,1,23
"91733","1921+S+Maple+Ave.+Los+Angeles+CA+90011",1486,1,25
"91733","725+S.+Indiana+St.+Los+Angeles+CA+90023",826,1,26
"91733","152+N.+Vermont+Ave.+Los+Angeles+CA+90004",2061,1,27
"91733","144+E+118th+St+Los+Angeles+CA+90061",2010,1,28
"91733","1940+E+111TH+St.+LOS+ANGELES+CA+90059",1755,1,29
"91733","322+LUCAS+AVELOS+ANGELES+CA+90017",1800,1,30
"91733","322+LUCAS+AVELOS+ANGELES+CA+90017",1800,1,31
"91733","322+LUCAS+AVELOS+ANGELES+CA+90017",1800,1,32
"91733","322+LUCAS+AVELOS+ANGELES+CA+90017",1800,1,33
"90043","147+E.+107th+Street+Los+Angeles+CA+90003",1191,21,1
"90043","10915+S.+Mc+Kinley+Ave.+Los+Angeles+CA+90059",1354,21,2
"90043","405+E+122nd+St+Los+Angeles+Ca+90061",1305,21,3
"90043","330+E.+93rd+St+Los+Angeles+CA+90003",1261,21,4
"90043","1575+W+2nd.+ST+Los+Angeles+CA+90026",1740,21,5
"90043","1575+W+2nd.+ST+Los+Angeles+CA+90026",1740,21,24
"90043","4410+McKinley+Ave+Los+Angeles+CA+90011",995,21,6
"90043","3500+S.+Hill+St.+Los+Angeles+CA+90007",908,21,8
"90043","1515+E.+104th+St.+Los+Angeles+CA+90002",1446,21,9
"90043","234+E+112TH+ST+LOS+ANGELES+CA+90061",1191,21,10
"90043","2510+E.+Sixth+St.+Los+Angeles+CA+90023",1698,21,11
"90043","1319+E+41st+St.+Los+Angeles+Ca+90011",1174,21,12
"90043","1319+E+41st+St.+Los+Angeles+Ca+90011",1174,21,19
"90043","650+S.+Union+Ave.+Los+Angeles+CA+90017",1602,21,13
"90043","2265+E.+103rd+St+Los+Angeles+CA+90002",1519,21,14
"90043","325+E+111th+St+Los+Angeles+CA+90061",1188,21,15
"90043","4131+S+Vermont+Ave+Los+Angeles+Ca+90037",664,21,16
"90043","1650+E.+104th+St.+Los+Angeles+CA+90002",1431,21,17
"90043","1200+Plaza+del+Sol+Los+Angeles+CA+90033",1847,21,18
"90043","4505+S.+Raymond+Ave.+Los+Angeles+CA+90037",521,21,20
"90043","3201+W.+8th+St.+Los+Angeles+CA+90010",1435,21,21
"90043","1700+W+46TH+ST+Los+Angeles+CA+90062",386,21,22
"90043","456+S+Mathews+St+Los+Angeles+CA+90033",1712,21,23
"90043","1921+S+Maple+Ave.+Los+Angeles+CA+90011",1198,21,25
"90043","725+S.+Indiana+St.+Los+Angeles+CA+90023",1799,21,26
"90043","152+N.+Vermont+Ave.+Los+Angeles+CA+90004",1747,21,27
"90043","144+E+118th+St+Los+Angeles+CA+90061",1310,21,28
"90043","1940+E+111TH+St.+LOS+ANGELES+CA+90059",1311,21,29
"90043","322+LUCAS+AVELOS+ANGELES+CA+90017",1660,21,30
"90043","322+LUCAS+AVELOS+ANGELES+CA+90017",1660,21,31
"90043","322+LUCAS+AVELOS+ANGELES+CA+90017",1660,21,32
"90043","322+LUCAS+AVELOS+ANGELES+CA+90017",1660,21,33
"90044","147+E.+107th+Street+Los+Angeles+CA+90003",395,108,1
"90044","10915+S.+Mc+Kinley+Ave.+Los+Angeles+CA+90059",586,108,2
"90044","405+E+122nd+St+Los+Angeles+Ca+90061",672,108,3
"90044","330+E.+93rd+St+Los+Angeles+CA+90003",471,108,4
"90044","1575+W+2nd.+ST+Los+Angeles+CA+90026",1817,108,5
"90044","1575+W+2nd.+ST+Los+Angeles+CA+90026",1817,108,24
"90044","4410+McKinley+Ave+Los+Angeles+CA+90011",1023,108,6
"90044","3500+S.+Hill+St.+Los+Angeles+CA+90007",975,108,8
"90044","1515+E.+104th+St.+Los+Angeles+CA+90002",662,108,9
"90044","234+E+112TH+ST+LOS+ANGELES+CA+90061",435,108,10
"90044","2510+E.+Sixth+St.+Los+Angeles+CA+90023",1734,108,11
"90044","1319+E+41st+St.+Los+Angeles+Ca+90011",1224,108,12
"90044","1319+E+41st+St.+Los+Angeles+Ca+90011",1224,108,19
"90044","650+S.+Union+Ave.+Los+Angeles+CA+90017",1653,108,13
"90044","2265+E.+103rd+St+Los+Angeles+CA+90002",832,108,14
"90044","325+E+111th+St+Los+Angeles+CA+90061",477,108,15
"90044","4131+S+Vermont+Ave+Los+Angeles+Ca+90037",877,108,16
"90044","1650+E.+104th+St.+Los+Angeles+CA+90002",644,108,17
"90044","1200+Plaza+del+Sol+Los+Angeles+CA+90033",1922,108,18
"90044","4505+S.+Raymond+Ave.+Los+Angeles+CA+90037",742,108,20
"90044","3201+W.+8th+St.+Los+Angeles+CA+90010",1666,108,21
"90044","1700+W+46TH+ST+Los+Angeles+CA+90062",818,108,22
"90044","456+S+Mathews+St+Los+Angeles+CA+90033",1731,108,23
"90044","1921+S+Maple+Ave.+Los+Angeles+CA+90011",1329,108,25
"90044","725+S.+Indiana+St.+Los+Angeles+CA+90023",1716,108,26
"90044","152+N.+Vermont+Ave.+Los+Angeles+CA+90004",2107,108,27
"90044","144+E+118th+St+Los+Angeles+CA+90061",596,108,28
"90044","1940+E+111TH+St.+LOS+ANGELES+CA+90059",782,108,29
"90044","322+LUCAS+AVELOS+ANGELES+CA+90017",1671,108,30
"90044","322+LUCAS+AVELOS+ANGELES+CA+90017",1671,108,31
"90044","322+LUCAS+AVELOS+ANGELES+CA+90017",1671,108,32
"90044","322+LUCAS+AVELOS+ANGELES+CA+90017",1671,108,33
"90029","147+E.+107th+Street+Los+Angeles+CA+90003",1800,24,1
"90029","10915+S.+Mc+Kinley+Ave.+Los+Angeles+CA+90059",1943,24,2
"90029","405+E+122nd+St+Los+Angeles+Ca+90061",2010,24,3
"90029","330+E.+93rd+St+Los+Angeles+CA+90003",1876,24,4
"90029","1575+W+2nd.+ST+Los+Angeles+CA+90026",856,24,5
"90029","1575+W+2nd.+ST+Los+Angeles+CA+90026",856,24,24
"90029","4410+McKinley+Ave+Los+Angeles+CA+90011",1576,24,6
"90029","3500+S.+Hill+St.+Los+Angeles+CA+90007",1280,24,8
"90029","1515+E.+104th+St.+Los+Angeles+CA+90002",2037,24,9
"90029","234+E+112TH+ST+LOS+ANGELES+CA+90061",1794,24,10
"90029","2510+E.+Sixth+St.+Los+Angeles+CA+90023",1255,24,11
"90029","1319+E+41st+St.+Los+Angeles+Ca+90011",1629,24,12
"90029","1319+E+41st+St.+Los+Angeles+Ca+90011",1629,24,19
"90029","650+S.+Union+Ave.+Los+Angeles+CA+90017",977,24,13
"90029","2265+E.+103rd+St+Los+Angeles+CA+90002",2130,24,14
"90029","325+E+111th+St+Los+Angeles+CA+90061",1844,24,15
"90029","4131+S+Vermont+Ave+Los+Angeles+Ca+90037",1418,24,16
"90029","1650+E.+104th+St.+Los+Angeles+CA+90002",2021,24,17
"90029","1200+Plaza+del+Sol+Los+Angeles+CA+90033",1034,24,18
"90029","4505+S.+Raymond+Ave.+Los+Angeles+CA+90037",1635,24,20
"90029","3201+W.+8th+St.+Los+Angeles+CA+90010",675,24,21
"90029","1700+W+46TH+ST+Los+Angeles+CA+90062",1701,24,22
"90029","456+S+Mathews+St+Los+Angeles+CA+90033",1235,24,23
"90029","1921+S+Maple+Ave.+Los+Angeles+CA+90011",1307,24,25
"90029","725+S.+Indiana+St.+Los+Angeles+CA+90023",1439,24,26
"90029","152+N.+Vermont+Ave.+Los+Angeles+CA+90004",334,24,27
"90029","144+E+118th+St+Los+Angeles+CA+90061",1923,24,28
"90029","1940+E+111TH+St.+LOS+ANGELES+CA+90059",1949,24,29
"90029","322+LUCAS+AVELOS+ANGELES+CA+90017",826,24,30
"90029","322+LUCAS+AVELOS+ANGELES+CA+90017",826,24,31
"90029","322+LUCAS+AVELOS+ANGELES+CA+90017",826,24,32
"90029","322+LUCAS+AVELOS+ANGELES+CA+90017",826,24,33
"90660","147+E.+107th+Street+Los+Angeles+CA+90003",1718,27,1
"90660","10915+S.+Mc+Kinley+Ave.+Los+Angeles+CA+90059",1604,27,2
"90660","405+E+122nd+St+Los+Angeles+Ca+90061",1594,27,3
"90660","330+E.+93rd+St+Los+Angeles+CA+90003",1797,27,4
"90660","1575+W+2nd.+ST+Los+Angeles+CA+90026",2010,27,5
"90660","1575+W+2nd.+ST+Los+Angeles+CA+90026",2010,27,24
